"","car_model","cylnder_efficiency","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"1","Mazda RX4",3.5,21,6,160,110,3.9,2.62,16.46,0,1,4,4
"2","Mazda RX4 Wag",3.5,21,6,160,110,3.9,2.875,17.02,0,1,4,4
"3","Datsun 710",5.7,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1
"4","Hornet 4 Drive",3.56666666666667,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1
"5","Hornet Sportabout",2.3375,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2
"6","Valiant",3.01666666666667,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1
"7","Duster 360",1.7875,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4
"8","Merc 240D",6.1,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2
"9","Merc 230",5.7,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
"10","Merc 280",3.2,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
"11","Merc 280C",2.96666666666667,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
"12","Merc 450SE",2.05,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
"13","Merc 450SL",2.1625,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
"14","Merc 450SLC",1.9,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3
"15","Cadillac Fleetwood",1.3,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4
"16","Lincoln Continental",1.3,10.4,8,460,215,3,5.424,17.82,0,0,3,4
"17","Chrysler Imperial",1.8375,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4
"18","Fiat 128",8.1,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
"19","Honda Civic",7.6,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
"20","Toyota Corolla",8.475,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
"21","Toyota Corona",5.375,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
"22","Dodge Challenger",1.9375,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2
"23","AMC Javelin",1.9,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2
"24","Camaro Z28",1.6625,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4
"25","Pontiac Firebird",2.4,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2
"26","Fiat X1-9",6.825,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1
"27","Porsche 914-2",6.5,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2
"28","Lotus Europa",7.6,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
"29","Ford Pantera L",1.975,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4
"30","Ferrari Dino",3.28333333333333,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6
"31","Maserati Bora",1.875,15,8,301,335,3.54,3.57,14.6,0,1,5,8
"32","Volvo 142E",5.35,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2
